 eventID,datetime,latitude,longitude,magnitude,mag_type,depth,phasecount,azimuth_gap,location,kategori_magnitude,mag_type_encoded,location_encoded
bmg2025qbht,2025-08-17 09:36:57.958221+00:00,-1.3547919988632202,120.6058807373047,1.7016186285638164,MLv,5,14.0,95.46144104003906,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qbho,2025-08-17 09:31:30.087888+00:00,-1.3606112003326416,120.60779571533205,1.8888612768932616,MLv,5,13.0,162.22552490234375,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qbfs,2025-08-17 08:35:17.503184+00:00,-0.3604222536087036,131.76571655273438,2.731475718311392,MLv,23,11.0,196.54320526123047,"West Papua Region, Indonesia",Ringan,2,38
bmg2025qbet,2025-08-17 08:07:07.449589+00:00,-1.3640655279159546,120.6353988647461,1.6659037323930022,MLv,5,10.0,97.4447784423828,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qbem,2025-08-17 07:58:31.877789+00:00,2.134183168411255,127.1101303100586,4.218463832661202,MLv,5,44.0,95.67578125,Northern Molucca Sea,Sedang,2,17
bmg2025qbdy,2025-08-17 07:42:12.659115+00:00,-4.543970108032227,102.0531997680664,3.43843144011866,MLv,40,22.0,186.6690216064453,"Southern Sumatra, Indonesia",Sedang,2,27
bmg2025qbdj,2025-08-17 07:24:37.954974+00:00,-1.3102916479110718,120.60974884033205,2.5072140778614505,MLv,7,18.0,102.260498046875,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qbdc,2025-08-17 07:16:56.184827+00:00,-1.0631431341171265,120.3070831298828,2.071647749187175,MLv,10,9.0,123.8437957763672,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qbcc,2025-08-17 06:46:03.478115+00:00,-1.3736687898635864,120.58968353271484,3.149237341903816,MLv,5,37.0,37.07345581054688,"Sulawesi, Indonesia",Sedang,2,29
bmg2025qbbr,2025-08-17 06:33:16.927538+00:00,-7.513553142547607,106.72417449951172,3.257090029414407,MLv,32,43.0,196.601806640625,"Java, Indonesia",Sedang,2,12
bmg2025qbbo,2025-08-17 06:29:23.325075+00:00,-1.593054175376892,135.18548583984375,3.281155944929448,MLv,10,10.0,164.87571716308594,"West Papua Region, Indonesia",Sedang,2,38
bmg2025qbbc,2025-08-17 06:15:47.779810+00:00,-1.3387116193771362,120.61627197265624,3.630883440117501,MLv,5,52.0,35.617759704589844,"Sulawesi, Indonesia",Sedang,2,29
bmg2025qayj,2025-08-17 04:53:33.557801+00:00,-2.719635248184204,128.53936767578125,2.9715964657511384,MLv,12,12.0,104.4447784423828,Ceram Sea,Ringan,2,7
bmg2025qaxr,2025-08-17 04:32:16.780675+00:00,-1.4361801147460938,120.4703369140625,2.174012778222775,MLv,10,12.0,88.42266845703125,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qawz,2025-08-17 04:10:39.830480+00:00,-1.670507311820984,120.41497802734376,1.97458942955658,MLv,10,16.0,118.63567352294922,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qawi,2025-08-17 03:51:05.855591+00:00,-1.3279494047164917,120.62606811523438,1.983862054778316,MLv,10,11.0,187.8500823974609,"Sulawesi, Indonesia",Ringan,2,29
bmg2025qava,2025-08-17 03:11:15.915877+00:00,2.545418500900269,127.2960968017578,3.463340216940255,MLv,23,27.0,132.66161346435547,Northern Molucca Sea,Sedang,2,17
