No,Nama Perusahaan,Kode Saham,Kode Subindustri,Sektor,Subsektor,Industri,Subindustri,Index,PER,PBV,ROE %,ROA %,DER,Mkt Cap,Total Rev,4-wk %Pr. Chg.,13-wk %Pr. Chg.,26-wk %Pr. Chg.,52-wk %Pr. Chg.,NPM %,MTD,YTD
253,PT Dewata Freightinternational Tbk.,DEAL,K211,Transportation & Logistic,Logistics & Deliveries,Logistics & Deliveries,Logistics & Deliveries,"COMPOSITE, IDXTRANS",,-0.12,,-11.91,-3.64,6877025754,33365576103,0.00,0.00,0.00,0.00,-53.84,0.00,0.00
254,Danasupra Erapacific Tbk,DEFI,G211,Financials,Financing Service,Consumer Financing,Consumer Financing,"COMPOSITE, DBX, IDXFINANCE",-35.17,3.31,-9.42,-8.75,0.08,117522599886,5372982913,0.00,-51.14,-88.25,-88.25,-62.19,0.00,-88.25
255,Caturkarda Depo Bangunan Tbk,DEPO,E743,Consumer Cyclicals,Retailing,Specialty Retail,Home Improvement Retail,"COMPOSITE, DBX, IDXCYCLIC, IDXSMC-COM, ISSI",20.32,1.36,6.68,3.88,0.72,1806140000000,2105681819786,6.02,35.58,27.03,11.90,4.22,5.22,14.63
256,Darma Henwa Tbk,DEWA,A132,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services","COMPOSITE, IDXENERGY, IDXSMC-COM, ISSI, KOMPAS100, MBX",103.33,3.60,3.48,1.69,1.05,17576971593408,3108825999000,26.74,154.67,175.25,343.09,5.47,17.97,361.86
257,PT Dewi Shri Farmindo Tbk,DEWI,D231,Consumer Non-Cyclicals,Food & Beverage,Agricultural Products,"Fish, Meat, & Poultry","COMPOSITE, DBX, IDXNONCYC, ISSI",45.90,1.92,4.19,3.61,0.16,306000000000,46696941664,43.80,84.11,107.37,131.76,14.28,32.21,126.44
258,Dafam Property Indonesia Tbk,DFAM,E512,Consumer Cyclicals,Consumer Services,Tourism & Recreation,"Hotels, Resorts & Cruise Lines","COMPOSITE, DBX, IDXCYCLIC",-11.54,10.16,-88.03,-5.91,13.90,157687786550,44520179266,16.28,28.21,100.00,100.00,-30.70,17.65,100.00
259,Nusa Konstruksi Enjiniring  Tbk,DGIK,J211,Infrastructures,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,Heavy Constructions & Civil Engineering,"COMPOSITE, DBX, IDXINFRA, ISSI",10.92,0.93,8.52,4.27,1.00,664939800000,627562936241,18.02,39.36,67.95,65.82,9.70,9.17,63.75
260,PT Diagnos Laboratorium Utama Tbk,DGNS,F121,Healthcare,Healthcare Equipment & Providers,Healthcare Providers,Healthcare Providers,"COMPOSITE, DBX, IDXHEALTH, ISSI",-89.59,1.10,-1.23,-0.78,0.58,212500000000,118274283776,29.17,30.07,17.72,-13.89,-2.01,2.20,-5.58
261,PT Delta Giri Wacana Tbk,DGWG,B112,Basic Materials,Basic Materials,Chemicals,Agricultural Chemicals,"COMPOSITE, IDXBASIC, ISSI, MBX",11.96,2.21,18.47,5.41,2.41,2258823552000,2645272000000,-6.00,-6.93,-23.58,,7.14,-3.59,
262,Arkadia Digital Media Tbk,DIGI,E614,Consumer Cyclicals,Media & Entertainment,Media,Consumer Publishing,"COMPOSITE, IDXCYCLIC",91.74,-6.56,,4.27,-2.68,56875000000,27949472013,2.70,22.58,80.95,153.33,2.22,5.56,137.50
263,Intiland Development Tbk,DILD,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, IDXPROPERT, IDXSMC-COM, MBX",-15.19,0.21,-1.36,-0.68,1.00,1399390314975,1699679971167,-5.11,-4.41,-5.80,-23.53,-5.42,-2.99,-18.75
264,Distribusi Voucher Nusantara Tbk,DIVA,I111,Technology,Software & IT Services,Online Applications & Services,Online Applications & Services,"COMPOSITE, DBX, IDXTECHNO, ISSI",168.49,0.37,0.22,0.20,0.07,247142852200,2607103239452,-3.06,49.61,72.73,26.67,0.06,11.76,41.79
265,Central Omega Resources Tbk,DKFT,B146,Basic Materials,Basic Materials,Metals & Minerals,Diversified Metals & Minerals,"COMPOSITE, DBX, IDXBASIC, IDXSMC-COM, ISSI",7.77,3.26,42.04,17.43,1.41,4031346319000,1244510048622,-22.41,0.00,56.25,190.95,41.71,-6.25,218.40
266,PT Cipta Sarana Medika Tbk,DKHH,F121,Healthcare,Healthcare Equipment & Providers,Healthcare Providers,Healthcare Providers,"COMPOSITE, DBX, IDXHEALTH, ISSI",,1.07,,,0.67,214203524052,110909317904,0.00,-11.43,32.86,,,12.05,
267,Delta Djakarta Tbk,DLTA,D211,Consumer Non-Cyclicals,Food & Beverage,Beverages,Liquors,"COMPOSITE, IDXNONCYC, IDXSMC-COM, MBX",11.64,2.12,18.20,13.32,0.37,1649357643000,484192661000,-4.31,0.76,-11.50,-12.28,29.27,-1.96,-7.41
268,Puradelta Lestari Tbk,DMAS,H111,Properties & Real Estate,Properties & Real Estate,Real Estate Management & Development,Real Estate Development & Management,"COMPOSITE, ESGQKEHATI, ESGSKEHATI, IDXPROPERT, IDXSMC-COM, ISSI, MBX",8.58,1.00,11.60,10.90,0.06,6313952554100,779582858811,-2.26,-5.80,-9.09,-16.13,94.36,-0.76,-12.75
269,Digital Mediatama Maxima Tbk,DMMX,I121,Technology,Software & IT Services,IT Services & Consulting,IT Services & Consulting,"COMPOSITE, DBX, IDXSMC-COM, IDXTECHNO, ISSI",123.58,4.47,3.62,2.78,0.30,2923076926000,492011739885,10.33,4.10,3.57,72.03,4.81,9.73,67.77
270,Diamond Food Indonesia Tbk,DMND,D112,Consumer Non-Cyclicals,Food & Staples Retailing,Food & Staples Retailing,Food Retail & Distributors,"COMPOSITE, DBX, IDXNONCYC, IDXSMC-COM, ISSI",14.69,0.93,6.34,5.05,0.26,5965066170000,8052959000000,0.81,8.70,-18.30,-22.84,5.04,0.81,-21.88
271,PT Bank Oke Indonesia Tbk.,DNAR,G111,Financials,Banks,Banks,Banks,"COMPOSITE, DBX, IDXFINANCE, IDXSMC-COM",25.26,0.93,3.73,1.07,2.50,3508396792992,886788625386,69.35,73.55,89.19,61.54,15.82,5.53,90.91
272,PT Indoritel Makmur Internasional Tbk.,DNET,G512,Financials,Holding & Investment Companies,Holding & Investment Companies,Investment Companies,"COMPOSITE, IDXFINANCE, MBX",112.56,8.82,7.76,5.21,0.49,131202000000000,1221934000000,-0.84,-1.93,-7.31,-2.47,95.39,-1.93,-1.39
273,Delta Dunia Makmur Tbk,DOID,A132,Energy,"Oil, Gas & Coal","Oil, Gas & Coal Supports","Oil, Gas & Coal Equipment & Services","COMPOSITE, IDXENERGY, IDXSMC-COM, MBX",-1.24,1.54,-124.14,-7.79,14.93,2478926310768,18870543326856,-10.18,-15.73,-38.78,-52.38,-10.56,-5.06,-44.95
274,PT Era Media Sejahtera Tbk,DOOH,E611,Consumer Cyclicals,Media & Entertainment,Media,Advertising,"COMPOSITE, DBX, IDXCYCLIC, ISSI",632.75,7.46,1.18,0.87,0.36,1687078245848,73485275949,133.77,123.60,256.44,554.55,3.63,66.67,520.69
